?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBcv_0000659>		
<http://purl.obolibrary.org/obo/CHEBI_15318>	"A purine nucleobase found in humans and other organisms."	"YMDB:YMDB00263 ECMDB:ECMDB00292 KNApSAcK:C00019660"
<http://purl.obolibrary.org/obo/FBcv_0003240>		
<http://purl.obolibrary.org/obo/FBcv_0007053>	"Sequence encoding a transcription activation domain fused to a heterodimerization domain, where the process of heterodimerization mediated by this domain can be regulated by a particular stimulus. A functional transcription driver can be reconstituted in vivo if this split system component is brought together with a split system component that encodes a DNA-binding domain fused to the complementary heterodimerization domain and the appropriate stimulus is applied."	
<http://purl.obolibrary.org/obo/FBcv_0000357>	"A phenotype that is any abnormality in the size of the whole body or some body part compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000497>	"Mutation induced by the transposable activity caused by hobo, a DNA transposable element. The hobo element is 3.0 kilobases in length with 12 base pairs inverted terminal repeats. After mobilization by the hobo transposase and upon insertion it generates a flanking duplication of 8 base pairs at the target site upon insertion."	
<http://purl.obolibrary.org/obo/CHEBI_76869>	"An EC 1.8.* (oxidoreductase acting on sulfur group of donors) inhibitor that interferes with the action of any such enzyme using NAD(+) or NADP(+) as acceptor (EC 1.8.1.*)."	
<http://purl.obolibrary.org/obo/CHEBI_29238>	"The radioactive isotope of hydrogen with relative atomic mass 3.016049 and half-life of 12.33 years (from Greek taurhoiotatauomicronsigma, third)."	
<http://purl.obolibrary.org/obo/FBcv_0000611>		
<http://purl.obolibrary.org/obo/CHEBI_36357>	"Any molecular entity consisting of more than one atom."	
<http://purl.obolibrary.org/obo/FBcv_0000306>	"Expression is limited to one or other sex by virtue of the particular biology of that sex, rather than the sex-linkage of the genes underlying the attribute."	
<http://purl.obolibrary.org/obo/FBcv_0007002>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property that can be used to regulate the activity of a neuron. This is often achieved by manipulation of membrane potential or synaptic transmission dynamics."	
<http://purl.obolibrary.org/obo/FBcv_0000614>		
<http://purl.obolibrary.org/obo/CHEBI_24833>	"A compound which contains oxygen, at least one other element, and at least one hydrogen bound to oxygen, and which produces a conjugate base by loss of positive hydrogen ion(s) (hydrons)."	
<http://purl.obolibrary.org/obo/CHEBI_68472>	"A deoxyribonucleoside containing a pyrimidine base."	"MetaCyc:Pyrimidine-Deoxyribonucleosides"
<http://purl.obolibrary.org/obo/CHEBI_29988>	"An L-alpha-amino acid anion that is the dianion obtained by the deprotonation of the both the carboxy groups of L-glutamic acid."	
<http://purl.obolibrary.org/obo/CHEBI_75603>	"Any enzyme inhibitor that interferes with the action of a ligase (EC 6.*.*.*). Ligases are enzymes that catalyse the joining of two molecules with concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate."	"Wikipedia:Ligase"
<http://purl.obolibrary.org/obo/CHEBI_22713>		
<http://purl.obolibrary.org/obo/FBcv_0000263>	"Publication in the Latin language."	
<http://purl.obolibrary.org/obo/CHEBI_38068>	"A drug used in the treatment of malaria. Antimalarials are usually classified on the basis of their action against Plasmodia at different stages in their life cycle in the human."	
<http://purl.obolibrary.org/obo/FBcv_0000056>	"Restricted to central region of some specified type."	
<http://purl.obolibrary.org/obo/FBcv_0000192>	"A work consisting of a self-described account."	"MeSH:D020493"
<http://purl.obolibrary.org/obo/FBcv_0003145>	"A sample that originated from a wild caught population and is considered true wild type."	
<http://purl.obolibrary.org/obo/FBcv_0007015>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that confers a specific property used to ablate a specific cell or anatomical structure, where this property can be regulated by temperature."	
<http://purl.obolibrary.org/obo/CHEBI_28868>	"The conjugate base of a fatty acid, arising from deprotonation of the carboxylic acid group of the corresponding fatty acid."	"KEGG:C02403"
<http://purl.obolibrary.org/obo/FBcv_0003175>	"Some characteristic of an assay pertaining to the methods involved in processing the biological source material or generating the raw output data of the assay."	
<http://purl.obolibrary.org/obo/FBcv_0005030>	"A peptide sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and which is used to target the tagged protein to the Golgi apparatus."	
<http://purl.obolibrary.org/obo/FBcv_0003199>	"Material that has been selected using a high salt chromatin extraction, typically 600mM."	
<http://purl.obolibrary.org/obo/FBcv_0000440>	"Phenotype that is an increased sensitivity (compared to wild-type) to the toxic effects of some specified chemical. The phrase 'toxic effects' here refers to reversible effects such as inebriation and sedation as well as sustained damage, developmental defects and death."	
<http://purl.obolibrary.org/obo/FBcv_0000271>	"Publication in the Serbo-Croat (Roman) language."	
<http://purl.obolibrary.org/obo/CHEBI_39276>	"A volatile or volatilizable chemical compound utilized for control of pests in buildings, soil, grain, as well as during processing of goods to be imported or exported to prevent transfer of exotic organisms."	"Wikipedia:Fumigation"
<http://purl.obolibrary.org/obo/CHEBI_23092>	"A substance intended to sterilize any organism."	"Wikipedia:Chemosterilant"
<http://purl.obolibrary.org/obo/FBcv_0000359>	"Phenotype that is a decrease in the number of cells in a whole animal or in some specific organ, tissue or clone of cells compared to wild-type. This phenotype is not necessarily accompanied by decreased growth - there may be fewer cells in an otherwise normal volume of tissue."	
<http://purl.obolibrary.org/obo/CHEBI_26587>		
<http://purl.obolibrary.org/obo/CHEBI_616459>		
<http://purl.obolibrary.org/obo/FBcv_0007045>	"Sequence that forms all or part of a transgenic locus or modified endogenous locus and which can be used to modify an RNA of interest in a defined manner. Examples of RNA engineering include the targeting of an individual transcript for knockdown, and targeted manipulation of RNA splicing or editing."	
<http://purl.obolibrary.org/obo/FBcv_0000013>	"Term that describes an allele, balancer, group or publication."	
<http://purl.obolibrary.org/obo/FBcv_0000613>		
<http://purl.obolibrary.org/obo/FBcv_0000102>	"20-60% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_23905>		
<http://purl.obolibrary.org/obo/FBcv_0003154>	"A sample that is derived from a primary cell culture."	
<http://purl.obolibrary.org/obo/FBcv_0000020>	"Penetrance is the fraction of individuals of a given genotype who exhibit the phenotype associated with that genotype. Penetrance is incomplete when only a percentage of the individuals of a given genotype exhibit the phenotype associated with that genotype."	
<http://purl.obolibrary.org/obo/CHEBI_25223>	"An organosulfonic ester resulting from the formal condensation of methanesulfonic acid with the hydroxy group of an alcohol, phenol, heteroarenol, or enol."	
<http://purl.obolibrary.org/obo/CHEBI_33861>		
<http://purl.obolibrary.org/obo/FBcv_0007043>	"An RMCE donor element contains a region of DNA sequence flanked by a pair of target sites for a recombinase or an integrase, which are arranged such that this donor sequence cassette can be used to replace target sequence of a compatible RMCE target element via recombination-mediated cassette exchange (RMCE). For RMCE mediated by a recombinase, the target cassette is flanked by two non-identical recombinase target sites that each carry a different mutation in the spacer sequence of the target site; this renders the two sites incompatible with each other. A compatible RMCE donor cassette is flanked by the same pair of non-identical sites; in the presence of recombinase, a double recombination event between the identical sites on the donor and target sequences results in replacement of the target cassette with the donor cassette. In the case of RMCE mediated by an integrase, the RMCE cassette is flanked by identical integrase target sites, while a compatible RMCE donor cassette is flanked by copies of the orthogonal integrase target site; in the presence of integrase, a double recombination event results in the target cassette being replaced with that of the donor cassette. In this case, if the flanking sites are in inverted orientation, replacement of the target cassette can occur in either direction."	
<http://purl.obolibrary.org/obo/FBcv_0005005>	"Sequence that forms all or part of the protein product encoded by a transgenic locus or modified endogenous locus and that encodes an enzyme whose activity can be used to detect the presence of that protein product."	"MI:0365"
<http://purl.obolibrary.org/obo/FBcv_0000355>	"Phenotype that is any abnormality in eye color compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0007533>	"Phenotype that is an increase in any kind of rate (e.g. speed, frequency) of proboscis extension reflex (GO:0007637). 'proboscis extension reflex' is defined as: 'The extension, through direct muscle actions, of the proboscis (the trunk-like extension of the mouthparts on the adult external head) in response to a nutritional stimulus.'."	
<http://purl.obolibrary.org/obo/FBcv_0000470>	"Sequence change induced by the genetic exchange that takes place between DNA sequences."	
<http://purl.obolibrary.org/obo/CHEBI_67107>	"A methanesulfonate ester that is hexane-2,5-diol in which the hydrogens of the hydroxy groups are replaced by methanesulfonyl groups."	
<http://purl.obolibrary.org/obo/FBcv_0000354>	"A post-embryonic, macroscopic, anatomical phenotype."	
<http://purl.obolibrary.org/obo/FBcv_0000373>	"A phenotype of male sterility due to defects in somatic cells of the testis (FBbt:00006031) or of the products of these cells."	
<http://purl.obolibrary.org/obo/FBcv_0000077>	"The full length of the pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000530>	"A methanesulfonate ester resulting from the formal condensation of methanesulfonic acid with ethanol (from CHEBI)."	
<http://purl.obolibrary.org/obo/FBcv_0000254>	"Publication in the Greek language."	
<http://purl.obolibrary.org/obo/CHEBI_17967>	"A carbamate ester obtained by the formal condensation of ethanol with carbamic acid. It has been found in alcoholic beverages."	"LINCS:LSM-37020 Wikipedia:Ethyl_carbamate DrugBank:DB04827 HMDB:HMDB0031219 KEGG:C01537"
<http://purl.obolibrary.org/obo/FBcv_0000073>		
<http://purl.obolibrary.org/obo/CHEBI_33308>	"An ester of a carboxylic acid, R(1)C(=O)OR(2), where R(1) = H or organyl and R(2) = organyl."	"Wikipedia:Ester KEGG:C02391"
<http://purl.obolibrary.org/obo/CHEBI_33424>		
<http://purl.obolibrary.org/obo/CHEBI_74783>	"A compound that causes the contraction of body tissues, typically used to reduce bleeding from minor abrasions."	"Wikipedia:Astringent"
<http://purl.obolibrary.org/obo/CHEBI_83822>	"Any L-alpha-amino acid which is not a member of the group of 23 proteinogenic amino acids."	
<http://purl.obolibrary.org/obo/CHEBI_51348>	"An angular ortho-fused polycyclic arene consisting of four fused benzene rings."	"Patent:DE481819 Wikipedia:Tetraphene KEGG:C14317 Patent:DE486766"
<http://purl.obolibrary.org/obo/CHEBI_27024>	"Any member of the class of benzenes that is a substituted benzene in which the substituents include one (and only one) methyl group."	
<http://purl.obolibrary.org/obo/FBcv_0000441>	"Phenotype that is a decreased tendency for radiation exposure to cause toxic effects."	
<http://purl.obolibrary.org/obo/CHEBI_50315>		
<http://purl.obolibrary.org/obo/FBcv_0000412>	"Phenotype that is any abnormality in optomotor response: a motor response during flight or walking that serves to stabilize both image formation on the retina and locomotor course."	
<http://purl.obolibrary.org/obo/FBcv_0000284>	"The RK2 rank describes mutants that are usable but less convenient."	
<http://purl.obolibrary.org/obo/CHEBI_22333>	"Highly reactive chemical that introduces alkyl radicals into biologically active molecules and thereby prevents their proper functioning. It could be used as an antineoplastic agent, but it might be very toxic, with carcinogenic, mutagenic, teratogenic, and immunosuppressant actions. It could also be used as a component of poison gases."	
<http://purl.obolibrary.org/obo/CHEBI_33595>	"Any molecule that consists of a series of atoms joined together to form a ring."	"Wikipedia:Cyclic_compound"
<http://purl.obolibrary.org/obo/CHEBI_22586>	"A substance that opposes oxidation or inhibits reactions brought about by dioxygen or peroxides."	
<http://purl.obolibrary.org/obo/FBcv_0000142>	"Expression pattern which varies in intensity following a gradient in the anterior-posterior axis."	
<http://purl.obolibrary.org/obo/FBcv_0000427>	"Phenotype that is any abnormality in cell growth (GO:0016049). 'cell growth' is defined as: 'The process in which a cell irreversibly increases in size over time by accretion and biosynthetic production of matter similar to that already present.'"	
<http://purl.obolibrary.org/obo/CHEBI_23888>	"Any substance which when absorbed into a living organism may modify one or more of its functions. The term is generally accepted for a substance taken for a therapeutic purpose, but is also commonly used for abused substances."	
<http://purl.obolibrary.org/obo/CHEBI_47019>		
<http://purl.obolibrary.org/obo/CHEBI_23996>	"An aliphatic sulfide in which the sulfur atom is bonded to at least one ethyl group."	
<http://purl.obolibrary.org/obo/CHEBI_36587>	"Organic compounds containing an oxygen atom, =O, doubly bonded to carbon or another element."	
<http://purl.obolibrary.org/obo/FBcv_0000025>	"Expressivity measures the extent to which a given genotype is expressed at the phenotypic level. 'Low expressivity' conveys that phenotype expressed is a much reduced version compared to complete expressivity."	
<http://purl.obolibrary.org/obo/FBcv_0000053>	"Restricted to anterior region of some specified type."	
<http://purl.obolibrary.org/obo/CHEBI_23367>	"Any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer etc., identifiable as a separately distinguishable entity."	
<http://purl.obolibrary.org/obo/FBcv_0003194>	"Material that has been selected using formaldehyde-assisted isolation of Regulatory Elements or FAIRE."	
<http://purl.obolibrary.org/obo/CHEBI_10545>	"Elementary particle not affected by the strong force having a spin 1/2, a negative elementary charge and a rest mass of 0.000548579903(13) u, or 0.51099906(15) MeV."	"Wikipedia:Electron KEGG:C05359"
<http://purl.obolibrary.org/obo/FBcv_0002012>	"A phenotype of a population that is the death of the majority of animals in that population during the larval stage."	
<http://purl.obolibrary.org/obo/CHEBI_50314>		
<http://purl.obolibrary.org/obo/FBcv_0005021>	"Sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and that encodes an epitope that can be used to detect the presence of the tagged protein product. An epitope (SO:0001018) is defined as 'A binding site that, in the molecule, interacts selectively and non-covalently with antibodies, B cells or T cells.'"	
<http://purl.obolibrary.org/obo/FBcv_0002042>	"A phenotype of a population that is the death of all animals in that population as immature adults (after eclosion but before the end of adult stage A3 (FBdv:00006012))."	
<http://purl.obolibrary.org/obo/FBcv_0000252>	"Publication in the French language."	
<http://purl.obolibrary.org/obo/FBcv_0003141>	"A biosample that is derived from multiple individuals."	
<http://purl.obolibrary.org/obo/CHEBI_39201>	"Any  organonitrogen heterocyclic compound based on a phenazine skeleton and derivatives."	
<http://purl.obolibrary.org/obo/FBcv_0009045>	"Non-functional fragment of a genome engineering tool. A functional genome engineering tool can be reconstituted when complementary split genome engineering tool fragments are brought together in vivo, for example by fusing the fragments to peptides that physically interact."	
<http://purl.obolibrary.org/obo/FBcv_0000160>		
<http://purl.obolibrary.org/obo/CHEBI_33862>		
<http://purl.obolibrary.org/obo/FBcv_0003100>	"A result that represents a set of genes that have some shared characteristic."	
<http://purl.obolibrary.org/obo/FBcv_0000695>	"An allele that makes a gene product that is antagonistic to the function of the wild-type gene product."	
<http://purl.obolibrary.org/obo/FBcv_0009001>	"A method for quantifying the transcriptome of individual cells, in which transcripts isolated from single nuclei are subjected to high-throughput sequencing and mapping to a reference genome."	"EFO:0009809"
<http://purl.obolibrary.org/obo/CHEBI_24651>	"Hydroxides are chemical compounds containing a hydroxy group or salts containing hydroxide (OH(-))."	
<http://purl.obolibrary.org/obo/CHEBI_33559>		
<http://purl.obolibrary.org/obo/FBcv_0003096>	"An analysis that results in the identification of discrete DNA or RNA binding sites."	
<http://purl.obolibrary.org/obo/CHEBI_61249>	"A flavonoid oxoanion that is the conjugate base of hesperetin arising from selective deprtotonation of the 7-hydroxy group."	
<http://purl.obolibrary.org/obo/CHEBI_35605>		
<http://purl.obolibrary.org/obo/FBcv_0002007>	"A phenotype of a population that is the death of all animals in that population during the larval stage."	
<http://purl.obolibrary.org/obo/FBcv_0003157>	"A sample that contains a transfected agent which has been stably incorporated into the genome."	
<http://purl.obolibrary.org/obo/CHEBI_28976>		"PDBeChem:CO3 KEGG:C01353"
<http://purl.obolibrary.org/obo/FBcv_0000002>	"Phenotype that is any abnormality in thermotaxis (GO:0043052). 'thermotaxis' is defined as: 'The directed movement of a motile cell or organism in response to a temperature gradient. Movement may be towards either a higher or lower temperature.'"	
<http://purl.obolibrary.org/obo/FBcv_0003136>	"A project study design investigating the effects of a physical stimulus on some aspect of an organism."	
<http://purl.obolibrary.org/obo/CHEBI_39447>	"Any compound having a pyrimidine as part of its structure."	
<http://purl.obolibrary.org/obo/FBcv_0000030>		
<http://purl.obolibrary.org/obo/FBcv_0005001>	"Term that describes the use of an experimental tool."	
<http://purl.obolibrary.org/obo/FBcv_0007050>	"A clone of somatic cells that share a genotype that is different from the genotype of the animal and are intentionally generated in a specific tissue of the organism."	
<http://purl.obolibrary.org/obo/CHEBI_47017>		
<http://purl.obolibrary.org/obo/FBcv_0003098>	"The analysis of a gene expression profiles to define sets of genes that share similar expression characteristics."	
<http://purl.obolibrary.org/obo/FBcv_0003080>	"An assay that characterizes copy number variation of the genome in a sample using genome tiling array."	
<http://purl.obolibrary.org/obo/FBcv_0000493>	"Mutation caused by a male recombination event induced by a male recombination factor which is present in chromosomes extracted from a population in Haifa, Israel."	
<http://purl.obolibrary.org/obo/CHEBI_33118>		"MolBase:1644 PDBeChem:BO3 KEGG:C12486 PPDB:2136 KEGG:D01089 BPDB:2136"
<http://purl.obolibrary.org/obo/FBcv_0000385>	"Phenotype that is a shorter adult life-span than wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000687>	"Descriptor that relates to aspects of a balancer."	
<http://purl.obolibrary.org/obo/FBcv_0000442>	"Phenotype that is an increased tendency for radiation exposure to cause toxic effects."	
<http://purl.obolibrary.org/obo/FBcv_0000608>		
<http://purl.obolibrary.org/obo/FBcv_0003183>	"Material that is derived from the isolation of chromatin and its subcellular components and/or binding partners."	
<http://purl.obolibrary.org/obo/FBcv_0000731>	"Expression is limited to mated females."	
<http://purl.obolibrary.org/obo/CHEBI_37578>	"Any heteroatomic molecular entity that is a chemical compound of halogen with other chemical elements."	"Wikipedia:Halide"
<http://purl.obolibrary.org/obo/FBcv_0000431>	"Phenotype that is any abnormality in meiotic cell cycle (GO:0051321). 'meiotic cell cycle' is defined as: 'Progression through the phases of the meiotic cell cycle, in which canonically a cell replicates to produce four offspring with half the chromosomal content of the progenitor cell via two nuclear divisions.'"	
<http://purl.obolibrary.org/obo/FBcv_0000253>	"Publication in the German language."	
<http://purl.obolibrary.org/obo/FBcv_0007032>	"Sequence that has a property that allows specific binding to another macromolecule, where this property can be regulated by temperature."	
<http://purl.obolibrary.org/obo/CHEBI_33303>	"Any p-block element belonging to the group 16 family of the periodic table."	
<http://purl.obolibrary.org/obo/FBcv_0003114>	"A collection of PCR products used for the synthesis of double-stranded RNA to induce RNA-interference."	
<http://purl.obolibrary.org/obo/FBcv_0003044>	"The type of biosample as characterized by its biological source material."	
<http://purl.obolibrary.org/obo/CHEBI_23378>		
<http://purl.obolibrary.org/obo/CHEBI_47018>		
<http://purl.obolibrary.org/obo/FBcv_0000400>	"Phenotype that is any abnormality in mating (GO:0007618). 'mating' is defined as: 'The pairwise union of individuals for the purpose of sexual reproduction, ultimately resulting in the formation of zygotes.'"	
<http://purl.obolibrary.org/obo/FBcv_0005046>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that is used to provide a readout of calcium ion concentration."	
<http://purl.obolibrary.org/obo/FBcv_0000259>	"Publication in the Italian language."	
<http://purl.obolibrary.org/obo/FBcv_0003225>	"An alignment of high-throughput sequences that includes only those reads mapping uniquely to the genome."	
<http://purl.obolibrary.org/obo/FBcv_0000255>	"Publication in the Hebrew language."	
<http://purl.obolibrary.org/obo/FBcv_0003173>	"A sample that has been labelled in a targeted, cell-specific manner."	
<http://purl.obolibrary.org/obo/FBcv_0003223>	"A genomic mapping profile that distinguishes forward and reverse strand distributions."	
<http://purl.obolibrary.org/obo/CHEBI_22928>		
<http://purl.obolibrary.org/obo/CHEBI_50319>		
<http://purl.obolibrary.org/obo/FBcv_0000607>		
<http://purl.obolibrary.org/obo/FBcv_0000115>	"40-100% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_37958>		
<http://purl.obolibrary.org/obo/CHEBI_35428>		
<http://purl.obolibrary.org/obo/FBcv_0000055>	"Restricted to basal region of some specified type."	
<http://purl.obolibrary.org/obo/CHEBI_63490>	"A substance capable of undergoing rapid and highly exothermic decomposition."	"Wikipedia:Explosive_material"
<http://purl.obolibrary.org/obo/FBcv_0000193>	"A work consisting of a list of books, articles, documents, publications, and other items, usually on a single subject or related subjects."	"MeSH:D016417"
<http://purl.obolibrary.org/obo/CHEBI_28230>	"A trihydroxyflavanone having the three hydroxy gropus located at the 3'-, 5- and 7-positions and an additional methoxy substituent at the 4'-position."	"HMDB:HMDB0005782 KNApSAcK:C00000968 Wikipedia:Hesperetin LINCS:LSM-20933 KEGG:C01709 MetaCyc:CPD-7072 DrugBank:DB01094"
<http://purl.obolibrary.org/obo/CHEBI_23377>		
<http://purl.obolibrary.org/obo/CHEBI_58951>	"Any fatty acid anion obtained by removal of a proton from the carboxy group of a short-chain fatty acid (chain length of less than C6)."	
<http://purl.obolibrary.org/obo/FBcv_0000032>		
<http://purl.obolibrary.org/obo/FBcv_0007518>	"Phenotype that is a decrease in the efficacy of memory (GO:0007613) relative to controls. 'memory' is defined as: 'The activities involved in the mental information processing system that receives (registers), modifies, stores, and retrieves informational stimuli. The main stages involved in the formation and retrieval of memory are encoding (processing of received information by acquisition), storage (building a permanent record of received information as a result of consolidation) and retrieval (calling back the stored information and use it in a suitable way to execute a given task).'"	
<http://purl.obolibrary.org/obo/FBcv_0000165>		
<http://purl.obolibrary.org/obo/FBcv_0003022>	"Term that specifies the dataset component type."	
<http://purl.obolibrary.org/obo/CHEBI_91007>	"A carboxylic acic anion obtained by deprotonation of the carboxy group of any aromatic carboxylic acid. Major species at pH 7.3."	
<http://purl.obolibrary.org/obo/FBcv_0000190>	"An individual abstract of a presentation at a meeting, congress, conference, symposium, colloquium, seminar, workshop, round table, or other professional gathering."	"MeSH:D016416"
<http://purl.obolibrary.org/obo/CHEBI_24632>	"A compound consisting of carbon and hydrogen only."	
<http://purl.obolibrary.org/obo/FBcv_0000270>	"Publication in the Portuguese language."	
<http://purl.obolibrary.org/obo/CHEBI_58953>	"Any fatty acid anion in which there is no C-C unsaturation."	
<http://purl.obolibrary.org/obo/FBcv_0000340>	"Incomplete penetrance or expressivity of a phenotype or incomplete suppression of a phenotype."	
<http://purl.obolibrary.org/obo/CHEBI_22927>		"WebElements:Br"
<http://purl.obolibrary.org/obo/CHEBI_37826>		
<http://purl.obolibrary.org/obo/FBcv_0000555>	"No definition for CHEBI:33118."	
<http://purl.obolibrary.org/obo/FBcv_0009054>	"Sequence that forms part of the protein product encoded by a transgenic locus or modified endogenous locus and that can catalyze protein splicing when brought together with a complementary split protein splicing tag in vivo. Typically used to join two separate protein sequences by trans-splicing; in this case the two separate protein sequences are each initially tagged with one half of a pair of complementary split protein splicing tags. Alternatively, if both halves of a pair of complementary split protein splicing tags are used to tag each end of a single protein sequence, they can be used to generate a cyclized protein molecule."	
<http://purl.obolibrary.org/obo/CHEBI_38809>		
<http://purl.obolibrary.org/obo/FBcv_0003133>	"A project study design in which the goal of the study is to examine properties of a specific gene or set of genes."	
<http://purl.obolibrary.org/obo/FBcv_0000425>	"Phenotype that is an increase in the amount of cell death in a whole animal or in some specific organ tissue or clone of cells compared to wild-type."	
<http://purl.obolibrary.org/obo/FBcv_0000031>		
<http://purl.obolibrary.org/obo/CHEBI_19363>	"A member of the class of 1,4-benzoquinones that is p-benzoquinone in which the hydrogens at positions 2 and 5 are replaced by aziridin-1-yl groups."	
<http://purl.obolibrary.org/obo/FBcv_0000439>	"Phenotype that is a decreased sensitivity (compared to wild-type) to the toxic effects of some specified chemical. The phrase 'toxic effects' here refers to reversible effects such as inebriation and sedation as well as sustained damage, developmental defects and death."	
<http://purl.obolibrary.org/obo/CHEBI_23906>		
<http://purl.obolibrary.org/obo/FBcv_0000297>		
<http://purl.obolibrary.org/obo/CHEBI_26709>	"An inorganic sodium salt having hydrogensulfite as the counterion."	"KEGG:D02059 DrugBank:DB14015 Wikipedia:Sodium_bisulfite FooDB:FDB015420"
<http://purl.obolibrary.org/obo/CHEBI_25555>		"WebElements:N"
<http://purl.obolibrary.org/obo/FBcv_0000581>	"No definition for CHEBI:30969."	
<http://purl.obolibrary.org/obo/CHEBI_35586>	"The 1H-tautomer of purine."	
<http://purl.obolibrary.org/obo/CHEBI_39745>	"A monovalent inorganic anion that consists of phosphoric acid in which one of the three OH groups has been deprotonated."	"PDBeChem:2HP DrugBank:DB02831"
<http://purl.obolibrary.org/obo/FBcv_0000452>	"Describes the origin of the mutation that causes a phenotype."	
<http://purl.obolibrary.org/obo/CHEBI_51070>		
<http://purl.obolibrary.org/obo/FBcv_0000244>	"Publication in the Danish language."	
<http://purl.obolibrary.org/obo/FBcv_0000382>	"Genotype g1 is a non-suppressor of variegation of the phenotype due to genotype g2 if, and only if, g2 has a variegated phenotype and the degree of variegation caused by g1g2 is not less than that caused by g2 alone."	
<http://purl.obolibrary.org/obo/FBcv_0000462>	"Sequence change introduced by an in vitro construct that uses site directed mutagenesis to target a particular region of the gene resulting in a change to the change to the amino acids sequence encodes.."	
<http://purl.obolibrary.org/obo/CHEBI_75600>	"A ligase inhibitor that interferes with the action of a C-N bond-forming ligase (EC 6.3.*.*)."	
<http://purl.obolibrary.org/obo/FBcv_0000463>	"Sequence change introduced by an in vitro construct designed to generate dsRNA for RNA interference (RNAi) experiments."	
<http://purl.obolibrary.org/obo/FBcv_0000609>		
<http://purl.obolibrary.org/obo/FBcv_0000116>	"40-50% of egg length from the posterior tip (0%) of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/FBcv_0000474>	"Sequence change caused by the exchange of genetic material during mitosis that occurs at crossing over, and more frequently between homologous chromosomes."	
<http://purl.obolibrary.org/obo/FBcv_0000137>	"90% of egg length from the posterior tip of the egg or pre-gastrula embryo."	
<http://purl.obolibrary.org/obo/CHEBI_20553>	"A uridine having a bromo substituent at the 5-position."	
<http://purl.obolibrary.org/obo/FBcv_0003122>	"A descriptor that describes some aspect of a project."	
<http://purl.obolibrary.org/obo/CHEBI_35820>	"Any antimicrobial drug which is used to treat or prevent protozoal infections."	"Wikipedia:Antiprotozoal_agent"
<http://purl.obolibrary.org/obo/FBcv_0005050>	"Sequence that forms all or part of the gene product encoded by a transgenic locus or modified endogenous locus and that is used to provide a readout of changes in the mechanical force the gene product is subjected to."	
<http://purl.obolibrary.org/obo/CHEBI_26167>	"Any amino acid whose side chain is capable of forming one or more hydrogen bonds."	"MetaCyc:Polar-amino-acids"
<http://purl.obolibrary.org/obo/CHEBI_48354>	"A solvent that is composed of polar molecules. Polar solvents can dissolve ionic compounds or ionisable covalent compounds."	
<http://purl.obolibrary.org/obo/FBcv_0000415>	"Phenotype that is a reduced ability to jump or a reduced jump response. This may be due to neurological or muscular defects."	
<http://purl.obolibrary.org/obo/FBcv_0000320>	"Expression in the terminal regions of the embryo/larva: the acron, telson and adjacent segments."	
<http://purl.obolibrary.org/obo/CHEBI_50910>	"A poison that interferes with the functions of the nervous system."	"Wikipedia:Neurotoxin"
<http://purl.obolibrary.org/obo/CHEBI_16235>	"A 2-aminopurine carrying a 6-oxo substituent."	"KNApSAcK:C00001501 PDBeChem:GUN KEGG:C00242 DrugBank:DB02377 Wikipedia:Guanine HMDB:HMDB0000132 MetaCyc:GUANINE"
<http://purl.obolibrary.org/obo/FBcv_0000518>	"Mutation induced by exposure to X rays."	
<http://purl.obolibrary.org/obo/FBcv_0005058>	"Component that forms part of a binary expression system. This system requires a transactivator ('driver') that binds to a specific DNA sequence ('regulatory region' or 'effector'). A driver encoded by one transgenic locus or modified endogenous locus is used to drive expression of a downstream 'responder' or 'reporter' encoded by another transgenic locus or modified endogenous locus, by fusing the regulatory region sequence to which the driver binds upstream of the responder sequence. The temporal and spatial expression pattern of the responder thus depends on the regulatory elements used to drive expression of the driver. In addition, a specific repressor protein may be available which prevents the transactivator from driving expression, allowing further refinement of the expression pattern of the responder."	
<http://purl.obolibrary.org/obo/FBcv_0000785>	"An allele shown by molecular evidence to make a functionally wild-type gene product at increased levels or with increased activity where this increased expression or activity occurs at low temperatures but not higher temperatures."	
<http://purl.obolibrary.org/obo/FBcv_0000034>		
<http://purl.obolibrary.org/obo/FBcv_0003124>	"A project study design that aims to compare different species."	
<http://purl.obolibrary.org/obo/CHEBI_149552>	"Any agent that induces nausea and vomiting."	
